timestamp,strike,instrument_type,oi,oi_change_pct,ltp
2026-02-20 09:15:00,21800,CE,10591,5.91,215.46
2026-02-20 09:15:00,21800,PE,9913,-0.87,210.77
2026-02-20 09:15:00,21850,CE,10562,4.3676,198.88
2026-02-20 09:15:00,21850,PE,9245,-8.6462,199.58
2026-02-20 09:15:00,21900,CE,13055,-4.436,187.22
2026-02-20 09:15:00,21900,PE,12985,-4.9484,182.63
2026-02-20 09:15:00,21950,CE,18856,2.2504,167.53
2026-02-20 09:15:00,21950,PE,18668,1.231,168.82
2026-02-20 09:15:00,22000,CE,25402,2.0448,158.78
2026-02-20 09:15:00,22000,PE,25793,3.6155,154.08
2026-02-20 09:15:00,22050,CE,34059,1.36,139.05
2026-02-20 09:15:00,22050,PE,33044,-1.6606,139.97
2026-02-20 09:15:00,22100,CE,45960,1.3272,124.8
2026-02-20 09:15:00,22100,PE,45536,0.3924,125.82
2026-02-20 09:15:00,22150,CE,61681,0.7399,109.82
2026-02-20 09:15:00,22150,PE,61485,0.4197,109.26
2026-02-20 09:15:00,22200,CE,83235,0.709,91.39
2026-02-20 09:15:00,22200,PE,82133,-0.6243,94.29
2026-02-20 09:15:00,22250,CE,110686,-0.7879,81.39
2026-02-20 09:15:00,22250,PE,112296,0.6552,79.33
2026-02-20 09:15:00,22300,CE,150382,-0.1428,61.92
2026-02-20 09:15:00,22300,PE,150604,0.0046,62.03
2026-02-20 09:15:00,22350,CE,203585,0.1481,47.61
2026-02-20 09:15:00,22350,PE,202588,-0.3424,50.29
2026-02-20 09:15:00,22400,CE,275337,0.3396,38.15
2026-02-20 09:15:00,22400,PE,274807,0.1465,35.5
2026-02-20 09:15:00,22450,CE,369751,-0.1776,16.4
2026-02-20 09:15:00,22450,PE,370848,0.1185,18.91
2026-02-20 09:15:00,22500,CE,500132,0.0264,2.48
2026-02-20 09:15:00,22500,PE,499299,-0.1402,3.27
2026-02-20 09:15:00,22550,CE,369547,-0.2327,16.04
2026-02-20 09:15:00,22550,PE,371036,0.1693,21.5
2026-02-20 09:15:00,22600,CE,275387,0.3579,34.66
2026-02-20 09:15:00,22600,PE,274539,0.0488,32.78
2026-02-20 09:15:00,22650,CE,203149,-0.0664,44.94
2026-02-20 09:15:00,22650,PE,202556,-0.3581,49.43
2026-02-20 09:15:00,22700,CE,150719,0.081,65.58
2026-02-20 09:15:00,22700,PE,151381,0.5206,66.8
2026-02-20 09:15:00,22750,CE,112252,0.6158,77.54
2026-02-20 09:15:00,22750,PE,112441,0.7852,80.99
2026-02-20 09:15:00,22800,CE,82168,-0.582,94.94
