"timestamp","atm_strike","atm_option_type","atm_current_oi","atm_lookback_oi","atm_oi_change_abs","atm_oi_change_pct","atm_oi_vs_ema","otm_option_type","otm_current_oi","otm_lookback_oi","otm_oi_change_abs","otm_oi_change_pct","otm_oi_vs_ema","squeeze_metric","minute_high","day_low","day_low_time","atm_close","spot_price","sentiment_signal","created_at"
"2026-02-12 09:19:00+05:30",25950,"PE","3411200","3915210","-504010","-12.87","BELOW","CE","5884060","4497090","1386970","30.84","ABOVE","30.10","148.70","118.60","2026-02-12 09:15:00+05:30","147.90","25860.45","-13.4557","2026-02-12 23:31:56.813142+05:30"
"2026-02-12 09:19:00+05:30",26000,"PE","5705960","5972135","-266175","-4.46","BELOW","CE","13286325","11435190","1851135","16.19","ABOVE","33.40","179.45","146.05","2026-02-12 09:15:00+05:30","179.45","25860.45","-13.4557","2026-02-12 23:31:56.813142+05:30"
"2026-02-12 09:19:00+05:30",26100,"PE","1189565","1244295","-54730","-4.40","BELOW","CE","6336720","5726110","610610","10.66","ABOVE","48.75","252.35","203.60","2026-02-12 09:15:00+05:30","252.35","25860.45","-13.4557","2026-02-12 23:31:56.813142+05:30"
"2026-02-12 09:20:00+05:30",25950,"PE","3411200","3915210","-504010","-12.87","BELOW","CE","5884060","4497090","1386970","30.84","ABOVE","35.50","154.10","118.60","2026-02-12 09:15:00+05:30","147.00","25855.25","-13.4557","2026-02-12 23:32:09.99433+05:30"
"2026-02-12 09:20:00+05:30",26000,"PE","5705960","5972135","-266175","-4.46","BELOW","CE","13286325","11435190","1851135","16.19","ABOVE","39.60","185.65","146.05","2026-02-12 09:15:00+05:30","177.85","25855.25","-13.4557","2026-02-12 23:32:09.99433+05:30"
"2026-02-12 09:20:00+05:30",26100,"PE","1189565","1244295","-54730","-4.40","BELOW","CE","6336720","5726110","610610","10.66","ABOVE","56.40","260.00","203.60","2026-02-12 09:15:00+05:30","249.90","25855.25","-13.4557","2026-02-12 23:32:09.99433+05:30"
"2026-02-12 09:21:00+05:30",25950,"PE","3411200","3818165","-406965","-10.66","BELOW","CE","5884060","5030610","853450","16.97","ABOVE","32.90","151.50","118.60","2026-02-12 09:15:00+05:30","147.40","25853.80","-10.9288","2026-02-12 23:32:24.328+05:30"
"2026-02-12 09:21:00+05:30",26000,"PE","5705960","5932940","-226980","-3.83","BELOW","CE","13286325","11994515","1291810","10.77","ABOVE","37.15","183.20","146.05","2026-02-12 09:15:00+05:30","179.20","25853.80","-10.9288","2026-02-12 23:32:24.328+05:30"
"2026-02-12 09:21:00+05:30",26100,"PE","1189565","1232920","-43355","-3.52","BELOW","CE","6336720","5804890","531830","9.16","ABOVE","52.10","255.70","203.60","2026-02-12 09:15:00+05:30","251.90","25853.80","-10.9288","2026-02-12 23:32:24.328+05:30"
"2026-02-12 09:22:00+05:30",25950,"PE","3388450","3818165","-429715","-11.25","BELOW","CE","6489275","5030610","1458665","29.00","ABOVE","37.60","156.20","118.60","2026-02-12 09:15:00+05:30","156.20","25854.85","-11.6834","2026-02-12 23:32:36.811479+05:30"
"2026-02-12 09:22:00+05:30",26050,"PE","638625","716820","-78195","-10.91","BELOW","CE","3899155","3525990","373165","10.58","ABOVE","43.50","222.70","179.20","2026-02-12 09:15:00+05:30","222.70","25854.85","-11.6834","2026-02-12 23:32:36.811479+05:30"
"2026-02-12 09:22:00+05:30",26100,"PE","1200680","1232920","-32240","-2.61","BELOW","CE","6591195","5804890","786305","13.55","ABOVE","57.20","260.80","203.60","2026-02-12 09:15:00+05:30","260.80","25854.85","-11.6834","2026-02-12 23:32:36.811479+05:30"
"2026-02-12 09:22:00+05:30",26150,"PE","264095","291655","-27560","-9.45","BELOW","CE","4050670","3711695","338975","9.13","ABOVE","74.85","302.15","227.30","2026-02-12 09:15:00+05:30","301.90","25854.85","-11.6834","2026-02-12 23:32:36.811479+05:30"
"2026-02-12 09:23:00+05:30",25950,"PE","3388450","3818165","-429715","-11.25","BELOW","CE","6489275","5030610","1458665","29.00","ABOVE","44.10","162.70","118.60","2026-02-12 09:15:00+05:30","160.90","25844.95","-12.3474","2026-02-12 23:32:49.26847+05:30"
"2026-02-12 09:23:00+05:30",26050,"PE","638625","716820","-78195","-10.91","BELOW","CE","3899155","3525990","373165","10.58","ABOVE","51.35","230.55","179.20","2026-02-12 09:15:00+05:30","228.75","25844.95","-12.3474","2026-02-12 23:32:49.26847+05:30"
"2026-02-12 09:23:00+05:30",26100,"PE","1200680","1232920","-32240","-2.61","BELOW","CE","6591195","5804890","786305","13.55","ABOVE","66.40","270.00","203.60","2026-02-12 09:15:00+05:30","268.50","25844.95","-12.3474","2026-02-12 23:32:49.26847+05:30"
"2026-02-12 09:23:00+05:30",26150,"PE","264095","291655","-27560","-9.45","BELOW","CE","4050670","3711695","338975","9.13","ABOVE","83.65","310.95","227.30","2026-02-12 09:15:00+05:30","309.60","25844.95","-12.3474","2026-02-12 23:32:49.26847+05:30"
"2026-02-12 09:25:00+05:30",25900,"PE","6904690","7040085","-135395","-1.92","BELOW","CE","9691240","7357480","2333760","31.72","ABOVE","34.20","133.20","99.00","2026-02-12 09:15:00+05:30","126.00","25843.90","-9.3617","2026-02-12 23:33:05.694753+05:30"
"2026-02-12 09:25:00+05:30",25950,"PE","3132480","3411200","-278720","-8.17","BELOW","CE","6865560","5884060","981500","16.68","ABOVE","42.85","161.45","118.60","2026-02-12 09:15:00+05:30","153.40","25843.90","-9.3617","2026-02-12 23:33:05.694753+05:30"
"2026-02-12 09:26:00+05:30",25900,"PE","6904690","7040085","-135395","-1.92","BELOW","CE","9691240","7357480","2333760","31.72","ABOVE","34.65","133.65","99.00","2026-02-12 09:15:00+05:30","133.00","25848.95","-9.3617","2026-02-12 23:33:15.343311+05:30"
"2026-02-12 09:26:00+05:30",25950,"PE","3132480","3411200","-278720","-8.17","BELOW","CE","6865560","5884060","981500","16.68","ABOVE","43.35","161.95","118.60","2026-02-12 09:15:00+05:30","161.45","25848.95","-9.3617","2026-02-12 23:33:15.343311+05:30"
"2026-02-12 09:27:00+05:30",25900,"PE","6904690","7160270","-255580","-3.57","BELOW","CE","9691240","8551595","1139645","13.33","ABOVE","37.15","136.15","99.00","2026-02-12 09:15:00+05:30","132.30","25835.50","-11.2748","2026-02-12 23:33:25.928733+05:30"
"2026-02-12 09:27:00+05:30",25950,"PE","3132480","3388450","-255970","-7.55","BELOW","CE","6865560","6489275","376285","5.80","ABOVE","46.50","165.10","118.60","2026-02-12 09:15:00+05:30","160.45","25835.50","-11.2748","2026-02-12 23:33:25.928733+05:30"
"2026-02-12 09:27:00+05:30",26000,"PE","5728450","5936970","-208520","-3.51","BELOW","CE","14638910","14059565","579345","4.12","ABOVE","50.90","196.95","146.05","2026-02-12 09:15:00+05:30","192.70","25835.50","-11.2748","2026-02-12 23:33:25.928733+05:30"
"2026-02-12 09:27:00+05:30",26050,"PE","611715","638625","-26910","-4.21","BELOW","CE","4091685","3899155","192530","4.94","ABOVE","53.75","232.95","179.20","2026-02-12 09:15:00+05:30","228.00","25835.50","-11.2748","2026-02-12 23:33:25.928733+05:30"
"2026-02-12 09:28:00+05:30",25900,"PE","6882720","7160270","-277550","-3.88","BELOW","CE","10449725","8551595","1898130","22.20","ABOVE","34.90","133.90","99.00","2026-02-12 09:15:00+05:30","129.80","25839.95","-11.3038","2026-02-12 23:33:36.483852+05:30"
"2026-02-12 09:28:00+05:30",25950,"PE","3131960","3388450","-256490","-7.57","BELOW","CE","7061470","6489275","572195","8.82","ABOVE","43.60","162.20","118.60","2026-02-12 09:15:00+05:30","157.55","25839.95","-11.3038","2026-02-12 23:33:36.483852+05:30"
"2026-02-12 09:28:00+05:30",26050,"PE","607750","638625","-30875","-4.83","BELOW","CE","4261010","3899155","361855","9.28","ABOVE","50.60","229.80","179.20","2026-02-12 09:15:00+05:30","224.40","25839.95","-11.3038","2026-02-12 23:33:36.483852+05:30"
"2026-02-12 09:28:00+05:30",26150,"PE","258115","264095","-5980","-2.26","BELOW","CE","4470765","4050670","420095","10.37","ABOVE","82.20","309.50","227.30","2026-02-12 09:15:00+05:30","303.45","25839.95","-11.3038","2026-02-12 23:33:36.483852+05:30"
"2026-02-12 09:29:00+05:30",25900,"PE","6882720","7160270","-277550","-3.88","BELOW","CE","10449725","8551595","1898130","22.20","ABOVE","34.75","133.75","99.00","2026-02-12 09:15:00+05:30","133.00","25842.40","-11.3038","2026-02-12 23:33:47.905844+05:30"
"2026-02-12 09:29:00+05:30",25950,"PE","3131960","3388450","-256490","-7.57","BELOW","CE","7061470","6489275","572195","8.82","ABOVE","43.40","162.00","118.60","2026-02-12 09:15:00+05:30","161.40","25842.40","-11.3038","2026-02-12 23:33:47.905844+05:30"
"2026-02-12 09:29:00+05:30",26050,"PE","607750","638625","-30875","-4.83","BELOW","CE","4261010","3899155","361855","9.28","ABOVE","50.40","229.60","179.20","2026-02-12 09:15:00+05:30","229.00","25842.40","-11.3038","2026-02-12 23:33:47.905844+05:30"
"2026-02-12 09:29:00+05:30",26150,"PE","258115","264095","-5980","-2.26","BELOW","CE","4470765","4050670","420095","10.37","ABOVE","82.00","309.30","227.30","2026-02-12 09:15:00+05:30","308.60","25842.40","-11.3038","2026-02-12 23:33:47.905844+05:30"
"2026-02-12 09:31:00+05:30",26050,"PE","588835","611715","-22880","-3.74","BELOW","CE","4409405","4091685","317720","7.77","ABOVE","61.55","240.75","179.20","2026-02-12 09:15:00+05:30","236.55","25829.80","-8.6681","2026-02-12 23:34:01.23027+05:30"
"2026-02-12 09:32:00+05:30",26050,"PE","588835","611715","-22880","-3.74","BELOW","CE","4409405","4091685","317720","7.77","ABOVE","60.70","239.90","179.20","2026-02-12 09:15:00+05:30","237.10","25825.95","-8.6681","2026-02-12 23:34:08.954016+05:30"
"2026-02-12 09:33:00+05:30",26000,"PE","5657015","5843500","-186485","-3.19","BELOW","CE","15490020","14937455","552565","3.70","ABOVE","56.65","202.70","146.05","2026-02-12 09:15:00+05:30","193.25","25828.40","-8.6834","2026-02-12 23:34:16.732363+05:30"
"2026-02-12 09:33:00+05:30",26050,"PE","588835","607750","-18915","-3.11","BELOW","CE","4409405","4261010","148395","3.48","ABOVE","60.20","239.40","179.20","2026-02-12 09:15:00+05:30","229.25","25828.40","-8.6834","2026-02-12 23:34:16.732363+05:30"
"2026-02-12 09:34:00+05:30",25900,"PE","6533410","6882720","-349310","-5.08","BELOW","CE","11944205","10449725","1494480","14.30","ABOVE","37.70","136.70","99.00","2026-02-12 09:15:00+05:30","133.00","25837.90","-12.6481","2026-02-12 23:34:29.711579+05:30"
"2026-02-12 09:34:00+05:30",25950,"PE","3032250","3131960","-99710","-3.18","BELOW","CE","7505940","7061470","444470","6.29","ABOVE","46.85","165.45","118.60","2026-02-12 09:15:00+05:30","161.45","25837.90","-12.6481","2026-02-12 23:34:29.711579+05:30"
"2026-02-12 09:34:00+05:30",26000,"PE","5445440","5843500","-398060","-6.81","BELOW","CE","16072550","14937455","1135095","7.60","ABOVE","51.95","198.00","146.05","2026-02-12 09:15:00+05:30","193.55","25837.90","-12.6481","2026-02-12 23:34:29.711579+05:30"
"2026-02-12 09:34:00+05:30",26050,"PE","554060","607750","-53690","-8.83","BELOW","CE","4586140","4261010","325130","7.63","ABOVE","54.10","233.30","179.20","2026-02-12 09:15:00+05:30","228.40","25837.90","-12.6481","2026-02-12 23:34:29.711579+05:30"
